id_facture,nom_du_client,create_date,due_in_date,clear_date,montant_totale,totale_payer,totale_reste,client_category
F0017281,Julie Brun7135,2023-08-19,2023-09-18,2023-11-12,6975.61,3619.33,3356.28,1st_degree_bad
F0007277,Marie Faure9197,2024-03-25,2024-04-24,2024-04-26,3355.22,2641.47,713.75,average
F0009393,Laura Marchand8798,2024-01-14,2024-02-13,2024-02-16,3672.46,2994.32,678.14,average
F0006464,Pierre Michel5692,2025-02-07,2025-03-09,2025-05-05,9199.75,5375.79,3823.96,1st_degree_bad
F0014870,Alexandre Dubois1721,2023-07-22,2023-08-21,2023-11-01,6049.61,1971.03,4078.58,3rd_degree_bad
F0004908,Nicolas Moreau5710,2024-11-06,2024-12-06,2024-12-03,2347.29,2071.35,275.94,good
F0007153,Julie Lefevre6821,2025-05-18,2025-06-17,2025-06-17,1649.36,1565.88,83.48,excellent
F0011794,Jean Laurent9497,2024-01-03,2024-02-02,2024-03-30,8064.39,3669.49,4394.9,2nd_degree_bad
F0015549,Luc Laurent6422,2023-04-08,2023-05-08,2023-06-12,3900.88,3160.61,740.27,average
F0004601,Alexandre Philippe6833,2023-11-16,2023-12-16,2023-12-18,3070.6,2839.2,231.4,good
F0000155,Marc Faure9704,2023-03-20,2023-04-19,,12122.3,2440.14,9682.16,3rd_degree_bad
F0002722,Anne Dupont2720,2023-10-12,2023-11-11,,2030.25,1666.05,364.2,average
F0005891,Emma Faure9290,2024-09-11,2024-10-11,2024-12-15,8972.13,1617.0,7355.13,3rd_degree_bad
F0011803,Jean Blanc5173,2025-01-19,2025-02-18,2025-02-13,6139.76,3529.82,2609.94,1st_degree_bad
F0018026,Paul Rousseau5246,2024-10-05,2024-11-04,2025-01-16,15354.48,2210.37,13144.11,3rd_degree_bad
F0011098,Thomas Blanc9851,2023-01-13,2023-02-12,2023-04-21,15708.1,6515.38,9192.72,2nd_degree_bad
F0001196,Thomas Muller1993,2025-03-08,2025-04-07,2025-05-05,3685.6,3161.73,523.87,average
F0019384,Marie Laurent176,2025-04-02,2025-05-02,2025-07-04,14979.35,5094.39,9884.96,2nd_degree_bad
F0013871,Julie Renaud9924,2025-04-30,2025-05-30,2025-07-15,13181.17,4818.57,8362.6,2nd_degree_bad
F0004150,Marc Dupont2402,2023-10-21,2023-11-20,2024-01-06,7082.09,3286.73,3795.36,2nd_degree_bad
F0009922,Luc Garcia9346,2025-03-30,2025-04-29,2025-07-04,9944.29,3909.94,6034.35,2nd_degree_bad
F0011245,Nicolas Philippe6522,2024-07-19,2024-08-18,,11555.04,7252.14,4302.9,1st_degree_bad
F0016380,Sarah Petit9546,2024-05-18,2024-06-17,2024-08-04,9783.23,5112.57,4670.66,1st_degree_bad
F0013032,Camille Petit1097,2024-04-28,2024-05-28,2024-07-18,9050.66,2967.35,6083.31,2nd_degree_bad
F0000233,Isabelle Rousseau1229,2024-10-26,2024-11-25,2024-12-21,1654.04,1516.58,137.46,average
F0003438,Antoine Dubois545,2023-12-24,2024-01-23,2024-01-22,2871.07,2652.5,218.57,good
F0017296,Claire Brun514,2025-02-13,2025-03-15,2025-03-15,1825.08,1825.08,0.0,good
F0019719,Antoine Marchand8973,2023-04-02,2023-05-02,2023-07-07,8962.25,1068.36,7893.89,3rd_degree_bad
F0005395,Julie Michel8610,2023-04-10,2023-05-10,2023-05-10,1581.1,1376.98,204.12,good
F0003394,Alexandre Muller3951,2024-09-13,2024-10-13,,15551.18,5308.48,10242.7,3rd_degree_bad
F0013885,Sarah Martin2783,2025-02-22,2025-03-24,2025-05-21,9019.55,5016.94,4002.61,1st_degree_bad
F0017257,Marc Renaud1362,2025-04-24,2025-05-24,2025-05-20,20.0,17.6,2.4,average
F0006546,Camille Renaud8117,2023-09-21,2023-10-21,2023-12-31,15989.99,6653.93,9336.06,2nd_degree_bad
F0011152,Marie Muller4111,2025-01-19,2025-02-18,2025-04-04,9402.23,3557.63,5844.6,2nd_degree_bad
F0001883,Sophie Renaud8896,2024-06-15,2024-07-15,2024-08-30,8640.08,5252.19,3387.89,1st_degree_bad
F0004394,Marie Rousseau5154,2025-08-29,2025-09-28,,10951.88,5207.2,5744.68,2nd_degree_bad
F0003448,Julie Michel5332,2024-08-03,2024-09-02,,11065.12,3712.47,7352.65,2nd_degree_bad
F0009496,Laura Blanc6964,2024-12-07,2025-01-06,2025-03-06,18062.33,8023.78,10038.55,2nd_degree_bad
F0016208,Sarah Lefevre6494,2023-09-05,2023-10-05,2023-10-06,5704.28,5410.47,293.81,good
F0006921,Antoine Brun7305,2024-05-10,2024-06-09,,7034.43,4331.05,2703.38,1st_degree_bad
F0003664,Julie Petit5235,2025-04-17,2025-05-17,,10851.94,4842.99,6008.95,2nd_degree_bad
F0002046,Marc Michel6648,2025-05-08,2025-06-07,,12196.3,1605.27,10591.03,3rd_degree_bad
F0002387,Anne Lefevre7266,2025-03-17,2025-04-16,,19887.22,5324.1,14563.12,3rd_degree_bad
F0011238,Sarah Masson9011,2022-12-17,2023-01-16,2023-03-28,9042.72,3371.62,5671.1,2nd_degree_bad
F0017921,Nicolas Renaud1383,2025-04-14,2025-05-14,2025-05-16,1280.87,1280.87,0.0,excellent
F0011067,Sarah Martin2281,2023-12-04,2024-01-03,2024-01-05,2533.77,2525.66,8.11,excellent
F0016357,Marie Muller7681,2024-04-23,2024-05-23,2024-06-01,2856.22,2579.14,277.08,average
F0012033,Thomas Marchand685,2025-02-01,2025-03-03,2025-04-29,9614.54,4517.39,5097.15,2nd_degree_bad
F0004203,Emma Martin860,2024-03-29,2024-04-28,2024-04-24,2284.61,2144.22,140.39,average
F0014785,Anne Petit656,2024-12-08,2025-01-07,2025-03-20,9453.31,1921.27,7532.04,3rd_degree_bad
F0007004,Marc Muller9061,2025-02-21,2025-03-23,2025-03-18,2985.84,2985.84,0.0,good
F0004386,Alexandre Dubois1440,2024-09-16,2024-10-16,,8951.92,5496.1,3455.82,1st_degree_bad
F0019697,Louis Bernard6079,2023-04-16,2023-05-16,2023-06-30,20326.5,7004.1,13322.4,2nd_degree_bad
F0009015,Sarah Dubois2303,2022-11-07,2022-12-07,2023-01-16,4816.44,4097.73,718.71,average
F0011429,Paul Brun3779,2023-02-08,2023-03-10,2023-05-07,6285.73,4142.96,2142.77,1st_degree_bad
