id_facture,nom_du_client,create_date,due_in_date,clear_date,montant_totale,totale_payer,totale_reste,client_category
F002042,Adrien Perrin,2022-11-08,2022-12-08,2023-01-12,8530.9,2757.16,5773.74,3rd_degree_bad
F002608,Baptiste Blanc,2024-10-24,2024-11-23,2024-11-25,137.81,131.87,5.94,average
F004676,Louis Garnier,2023-07-24,2023-08-23,2023-08-21,2999.92,2826.89,173.03,average
F004630,Sarah Michel,2022-11-28,2022-12-28,2022-12-30,4490.57,3458.33,1032.24,average
F004616,Jerome Philippe,2023-12-22,2024-01-21,,12246.1,2638.81,9607.29,3rd_degree_bad
F002282,Jean Muller,2023-09-26,2023-10-26,2023-10-24,1461.86,1069.58,392.28,average
F001289,Marie Chevalier,2024-05-24,2024-06-23,,9170.02,6186.87,2983.15,1st_degree_bad
F004963,Marc Gerard,2024-09-10,2024-10-10,2024-12-14,24109.88,12365.42,11744.46,2nd_degree_bad
F002520,Marc Martin,2025-09-08,2025-10-08,2025-10-10,20.0,15.32,4.68,average
F004526,Nathalie Renaud,2023-01-04,2023-02-03,,9027.23,5858.63,3168.6,1st_degree_bad
F001279,Stephane Faure,2023-08-14,2023-09-13,2023-10-15,4287.58,3141.34,1146.24,average
F001399,Louis Morin,2024-03-07,2024-04-06,,7009.1,2964.69,4044.41,2nd_degree_bad
F001151,Aurelie Robin,2023-08-13,2023-09-12,2023-10-04,3210.37,3066.46,143.91,average
F001880,Adrien Dubois,2025-01-07,2025-02-06,2025-02-05,3204.65,2763.33,441.32,average
F003003,Sarah Chevalier,2022-12-16,2023-01-15,2023-04-06,11449.06,1110.39,10338.67,3rd_degree_bad
F001803,Stephane Philippe,2025-06-09,2025-07-09,2025-07-04,2817.62,2371.33,446.29,average
F004279,Adrien Martin,2024-08-02,2024-09-01,2024-10-31,10267.74,3306.02,6961.72,3rd_degree_bad
F001038,Isabelle Brun,2023-01-29,2023-02-28,,5680.83,3918.17,1762.66,average
F003797,Antoine Perrot,2024-02-27,2024-03-28,2024-03-25,3693.24,2525.01,1168.23,average
F001227,Julie Guerin,2023-01-17,2023-02-16,2023-05-05,8053.75,5401.64,2652.11,1st_degree_bad
F002031,Jerome Lefevre,2023-06-09,2023-07-09,2023-07-09,2185.26,1967.92,217.34,average
F001587,Corinne Faure,2024-02-28,2024-03-29,2024-03-30,903.1,810.29,92.81,average
F000140,Olivier Dupont,2023-06-05,2023-07-05,2023-07-04,17861.82,7975.12,9886.7,2nd_degree_bad
F003066,Marie Perrin,2024-03-02,2024-04-01,2024-03-28,1653.59,1653.59,0.0,good
F003150,Hugo Blanc,2023-08-04,2023-09-03,2023-09-06,3243.07,2848.04,395.03,average
F004030,Isabelle Philippe,2023-07-28,2023-08-27,2023-09-15,2634.58,2386.17,248.41,average
F004549,Baptiste Garnier,2023-11-05,2023-12-05,,15346.51,6136.14,9210.37,2nd_degree_bad
F003406,Anne Garcia,2023-01-23,2023-02-22,2023-02-18,1204.25,1204.25,0.0,good
F000755,Baptiste Masson,2024-04-14,2024-05-14,2024-05-15,2069.65,1965.34,104.31,excellent
F004515,Marc Dubois,2022-12-07,2023-01-06,,12601.19,2940.98,9660.21,3rd_degree_bad
F003676,Hugo Brun,2025-09-09,2025-10-09,2025-11-09,3645.76,2658.34,987.42,average
F002264,Laura Lefevre,2024-08-14,2024-09-13,2024-09-21,591.33,561.49,29.84,average
F004520,Romain Masson,2025-08-11,2025-09-10,,5342.09,5279.14,62.95,average
F002273,Claire Guerin,2024-10-29,2024-11-28,2025-01-30,5865.1,2599.49,3265.61,2nd_degree_bad
F000696,Sebastien Masson,2023-02-18,2023-03-20,2023-05-22,19115.58,8870.89,10244.69,2nd_degree_bad
F004571,Aurelie Renaud,2023-05-09,2023-06-08,,3796.7,3220.6,576.1,average
F002621,Marion Bernard,2022-12-27,2023-01-26,2023-03-24,15066.57,4527.37,10539.2,3rd_degree_bad
F000616,Julie Brun,2025-02-04,2025-03-06,2025-05-06,8462.22,5037.87,3424.35,1st_degree_bad
F004888,Jean Garcia,2024-01-17,2024-02-16,2024-04-12,18370.68,3348.89,15021.79,3rd_degree_bad
F002368,Julie Lefevre,2022-09-26,2022-10-26,2022-12-14,1875.08,1568.99,306.09,average
F002470,Manon Gauthier,2025-03-27,2025-04-26,2025-04-21,3612.05,2390.49,1221.56,average
F004870,Luc Brun,2025-04-18,2025-05-18,2025-07-01,12905.77,971.48,11934.29,3rd_degree_bad
F003635,Olivier Morin,2025-09-10,2025-10-10,2025-10-17,4250.44,3212.93,1037.51,average
F000655,Adrien Faure,2024-03-07,2024-04-06,,14191.43,3732.43,10459.0,3rd_degree_bad
F003485,Sophie Garcia,2024-06-01,2024-07-01,2024-08-23,7094.88,4176.59,2918.29,2nd_degree_bad
F000573,Jerome Guerin,2022-12-19,2023-01-18,2023-01-18,2332.85,1964.6,368.25,average
F001460,Marc Masson,2024-05-31,2024-06-30,,3601.51,2108.09,1493.42,average
F002332,Valerie Gauthier,2024-05-28,2024-06-27,2024-08-22,7105.28,2181.68,4923.6,3rd_degree_bad
F003529,Jean Guerin,2024-10-13,2024-11-12,2024-11-09,2254.01,2254.01,0.0,excellent
F003030,Valerie Petit,2023-06-17,2023-07-17,2023-08-15,11569.25,4866.78,6702.47,1st_degree_bad
F004389,Jerome Renaud,2024-07-10,2024-08-09,2024-10-14,12309.69,1639.15,10670.54,3rd_degree_bad
F004859,Manon Garnier,2022-12-10,2023-01-09,2023-01-08,3166.55,2875.16,291.39,average
F002790,Louis Lefevre,2024-08-25,2024-09-24,2024-11-24,10590.1,2046.3,8543.8,3rd_degree_bad
F002375,Aurelie Lefevre,2023-08-19,2023-09-18,2023-10-24,5770.59,2640.97,3129.62,2nd_degree_bad
F003358,Vincent Bernard,2023-04-04,2023-05-04,2023-05-03,2152.63,2136.9,15.73,good
F000776,Adrien Lefevre,2023-07-03,2023-08-02,2023-07-30,1922.92,1741.22,181.7,good
F002300,Emma Philippe,2023-09-22,2023-10-22,,10826.84,6543.12,4283.72,1st_degree_bad
F004115,Damien Dubois,2023-08-18,2023-09-17,2023-09-12,694.8,615.91,78.89,good
F000921,Olivier Perrin,2025-02-16,2025-03-18,2025-05-01,16049.06,3941.09,12107.97,2nd_degree_bad
F002896,Sarah Perrin,2023-11-20,2023-12-20,2024-02-16,4896.03,2671.82,2224.21,1st_degree_bad
F000451,Marion Marchand,2023-04-04,2023-05-04,2023-05-25,3100.26,2828.59,271.67,average
F004384,Anne Muller,2024-03-21,2024-04-20,2024-05-18,2497.25,2489.3,7.95,average
F001758,Romain Renaud,2023-08-04,2023-09-03,2023-08-29,644.53,627.77,16.76,average
F000570,Baptiste Morin,2025-03-27,2025-04-26,2025-04-27,1991.49,1991.49,0.0,average
F001445,Sarah Bernard,2025-06-12,2025-07-12,2025-09-20,13136.27,7734.01,5402.26,2nd_degree_bad
F003659,Alexandre Lefevre,2023-03-08,2023-04-07,2023-04-27,4918.65,3934.94,983.71,average
F001734,Anne Marchand,2023-04-20,2023-05-20,2023-05-20,2835.77,2453.49,382.28,good
F003403,Anne Garcia,2025-07-14,2025-08-13,2025-09-08,466.32,444.21,22.11,good
F001886,Marc Rousseau,2025-07-30,2025-08-29,2025-11-08,11115.11,2070.45,9044.66,3rd_degree_bad
F001938,Elodie Michel,2024-10-11,2024-11-10,2024-11-06,2586.55,2176.98,409.57,average
