id_facture,nom_du_client,create_date,due_in_date,clear_date,montant_totale,totale_payer,totale_reste,client_category
F001502,Anne Dubois,2023-08-08,2023-09-07,2023-09-08,2351.01,1906.09,444.92,average
F002587,Camille Philippe,2025-06-28,2025-07-28,2025-07-30,3538.01,2294.86,1243.15,average
F002654,Jerome Morin,2023-03-17,2023-04-16,2023-06-02,10920.01,7377.53,3542.48,1st_degree_bad
F001056,Celine David,2023-12-25,2024-01-24,2024-02-26,4640.26,2774.37,1865.89,1st_degree_bad
F000706,Corinne Guerin,2025-05-03,2025-06-02,,10725.01,3249.48,7475.53,3rd_degree_bad
F000107,Camille Morin,2024-03-19,2024-04-18,2024-06-04,8510.9,4227.4,4283.5,1st_degree_bad
F000590,Stephane Garcia,2022-10-07,2022-11-06,2022-12-05,5958.51,3827.51,2131.0,1st_degree_bad
F002469,Olivier Dupont,2025-01-06,2025-02-05,2025-04-10,17079.26,6546.28,10532.98,2nd_degree_bad
F002414,Marc Dubois,2025-08-19,2025-09-18,2025-09-13,5651.89,4261.11,1390.78,average
F001601,Thomas Garnier,2024-01-13,2024-02-12,2024-04-14,10663.64,4908.26,5755.38,2nd_degree_bad
F002465,Olivier Dupont,2024-07-17,2024-08-16,2024-10-14,10437.74,3741.54,6696.2,2nd_degree_bad
F000229,Olivier Petit,2024-08-10,2024-09-09,,5553.08,4841.15,711.93,average
F000916,Hugo Garcia,2024-06-07,2024-07-07,2024-09-05,10319.0,4806.11,5512.89,1st_degree_bad
F000795,Romain Petit,2025-02-06,2025-03-08,2025-03-08,339.05,262.17,76.88,average
F003022,Marion Bernard,2025-08-19,2025-09-18,2025-11-01,6601.01,4199.21,2401.8,1st_degree_bad
F003544,Vincent Michel,2024-08-23,2024-09-22,,7009.39,4278.08,2731.31,1st_degree_bad
F001074,Sebastien Faure,2023-12-03,2024-01-02,2024-01-03,2292.77,2292.77,0.0,excellent
F003352,Aurelie Rousseau,2025-08-20,2025-09-19,2025-09-24,3613.87,3613.87,0.0,average
F001745,Claire Robin,2024-07-16,2024-08-15,2024-09-30,12993.22,2535.72,10457.5,3rd_degree_bad
F001085,Alexandre Garcia,2022-12-29,2023-01-28,2023-04-08,14306.76,3812.34,10494.42,2nd_degree_bad
F000927,Claire Morin,2023-09-02,2023-10-02,2023-10-04,644.41,644.41,0.0,good
F003050,Marion Martin,2025-09-04,2025-10-04,2025-09-29,1688.94,1592.3,96.64,good
F001118,Baptiste Muller,2025-05-20,2025-06-19,2025-06-15,641.23,641.23,0.0,good
F000643,Isabelle Martin,2025-07-21,2025-08-20,2025-08-16,1627.07,1627.07,0.0,excellent
F004768,Emma Moreau,2023-06-28,2023-07-28,2023-09-22,13055.05,2530.15,10524.9,3rd_degree_bad
F000502,Stephane Robin,2024-02-26,2024-03-27,2024-03-24,3727.5,3342.76,384.74,average
F004067,Laura Dubois,2025-05-19,2025-06-18,2025-08-18,7504.54,3349.79,4154.75,1st_degree_bad
F000334,Valerie Marchand,2025-02-09,2025-03-11,2025-05-06,7610.79,1345.13,6265.66,3rd_degree_bad
F004685,Marc Rousseau,2023-03-18,2023-04-17,2023-05-27,6609.35,1699.23,4910.12,3rd_degree_bad
F000487,Vincent Moreau,2023-08-26,2023-09-25,2023-09-26,3283.27,3283.27,0.0,average
F001963,Celine Petit,2023-10-04,2023-11-03,2023-11-12,3135.87,3135.87,0.0,average
F000394,Olivier Perrot,2025-02-08,2025-03-10,2025-05-08,6824.72,3572.14,3252.58,2nd_degree_bad
F004843,Julie David,2024-03-26,2024-04-25,2024-06-25,11826.54,5045.88,6780.66,2nd_degree_bad
F004867,Olivier Perrin,2024-06-20,2024-07-20,,10226.5,4540.4,5686.1,3rd_degree_bad
F001756,Claire Robin,2024-02-05,2024-03-06,2024-05-02,12437.35,2775.92,9661.43,3rd_degree_bad
F002516,Stephane Gauthier,2023-01-01,2023-01-31,2023-04-13,9120.69,268.76,8851.93,3rd_degree_bad
F003586,Corinne Lefevre,2025-08-21,2025-09-20,2025-09-21,586.61,481.91,104.7,average
F004316,Celine Perrot,2025-03-03,2025-04-02,2025-06-11,9985.91,3314.54,6671.37,3rd_degree_bad
F004967,Baptiste Martin,2023-09-01,2023-10-01,2023-11-27,10023.69,4751.7,5271.99,1st_degree_bad
F002100,Baptiste Rousseau,2023-06-07,2023-07-07,,15585.41,3649.02,11936.39,3rd_degree_bad
F003600,Marion Lefevre,2022-10-06,2022-11-05,2023-01-11,10697.36,2891.01,7806.35,3rd_degree_bad
F004122,Elodie Renaud,2023-01-02,2023-02-01,2023-03-21,11917.98,6968.0,4949.98,1st_degree_bad
F000030,Jerome Dupont,2023-03-13,2023-04-12,2023-04-14,803.09,730.54,72.55,good
F000066,Helene Garnier,2024-12-25,2025-01-24,,2662.28,2210.34,451.94,average
F000839,Nathalie Rousseau,2025-05-16,2025-06-15,2025-06-15,2403.84,2137.97,265.87,good
F003907,Sophie Chevalier,2024-10-03,2024-11-02,2024-11-27,1048.86,805.84,243.02,average
F003774,Marie Faure,2023-09-23,2023-10-23,2023-10-18,5783.59,5400.11,383.48,average
F004636,Jerome Rousseau,2024-06-04,2024-07-04,2024-08-22,11492.05,1063.52,10428.53,3rd_degree_bad
F003162,Luc Dubois,2024-05-05,2024-06-04,,4150.74,2672.92,1477.82,1st_degree_bad
F002660,Elodie Michel,2024-01-02,2024-02-01,2024-02-23,2431.12,1916.71,514.41,average
F004616,Romain Laurent,2025-07-30,2025-08-29,2025-10-14,8563.68,4163.93,4399.75,1st_degree_bad
F004629,Antoine Garcia,2023-01-23,2023-02-22,,3708.17,3332.42,375.75,average
F002452,Claire Moreau,2025-08-18,2025-09-17,2025-09-13,1512.63,1407.68,104.95,good
F002847,Helene Blanc,2024-09-26,2024-10-26,2024-10-23,1810.02,1478.33,331.69,good
F001145,Damien Masson,2023-12-30,2024-01-29,2024-01-28,726.34,618.5,107.84,good
F003079,Julie Petit,2024-04-15,2024-05-15,2024-06-30,10906.53,2671.09,8235.44,2nd_degree_bad
F001104,Romain Renaud,2025-04-08,2025-05-08,2025-06-15,14175.53,5687.28,8488.25,2nd_degree_bad
F000169,Laura Renaud,2024-09-19,2024-10-19,2024-11-15,7607.42,3318.21,4289.21,2nd_degree_bad
F001671,Valerie Rousseau,2025-09-09,2025-10-09,2025-12-05,5542.13,4316.95,1225.18,1st_degree_bad
F002571,Emma Bernard,2023-02-03,2023-03-05,2023-04-14,3940.97,3708.31,232.66,average
F002378,Damien Leclerc,2023-07-19,2023-08-18,2023-09-15,4449.1,2613.64,1835.46,1st_degree_bad
F004396,Olivier Michel,2025-09-05,2025-10-05,2025-10-01,122.76,88.03,34.73,average
F004258,Julie Garnier,2024-10-04,2024-11-03,,4887.1,3936.99,950.11,average
F003863,Stephane Morin,2023-03-26,2023-04-25,2023-05-13,10063.04,6012.43,4050.61,1st_degree_bad
F000024,Emma Garcia,2023-05-27,2023-06-26,2023-06-21,1282.08,1251.21,30.87,good
F002634,Isabelle Moreau,2024-12-29,2025-01-28,2025-04-01,4430.63,3185.42,1245.21,1st_degree_bad
F003341,Antoine Laurent,2024-04-18,2024-05-18,2024-05-26,5042.39,4111.49,930.9,average
F002216,Anne Marchand,2023-06-03,2023-07-03,2023-08-30,9059.35,1864.34,7195.01,2nd_degree_bad
F003683,Olivier Bernard,2022-10-04,2022-11-03,2022-11-05,2690.03,2287.62,402.41,average
